
	dt = 0.01		dr = 0.5		n = 7		A = 300		c0 = 1.45
    nzz = 300

	t		R		P*		P(Mpa)		P(Mpa)		P(Mpa)		U(mm/ms)		(mm/ms)		(mm/ms)
  (ms)		(m)	(Mpa)		z=r1		z=r2		z=r3		z=r1		z=r2		z=r3

   1.000   0.002  38.746  26.680  26.278  25.778   0.000   0.000   0.000
   2.000   0.010  49.050  26.680  26.278  25.778   0.000   0.000   0.000
   3.000   0.026  63.657  26.680  26.278  25.778   0.000   0.000   0.000
   4.000   0.049  73.035  26.680  26.278  25.778   0.000   0.000   0.000
   5.000   0.077  69.173  26.894  26.278  25.778   0.316   0.001   0.001
   6.000   0.103  62.364  29.703  26.278  25.778   2.877   0.001   0.001
   7.000   0.125  57.346  35.139  26.278  25.778   7.111   0.001   0.001
   8.000   0.145  54.726  42.106  26.278  25.778  11.981   0.001   0.001
   9.000   0.163  53.804  49.586  26.278  25.778  16.725   0.001   0.001
  10.000   0.181  54.292  56.640  26.278  25.778  20.795   0.001   0.001
  11.000   0.199  55.388  62.339  26.278  25.778  23.732   0.001   0.001
  12.000   0.218  56.786  65.482  26.278  25.778  24.871   0.001   0.001
  13.000   0.237  56.804  59.082  26.278  25.778  20.321   0.001   0.001
  14.000   0.256  55.909  56.750  26.278  25.778  18.744   0.002   0.002
  15.000   0.275  54.564  54.725  26.278  25.778  17.998   0.002   0.002
  16.000   0.293  53.214  53.880  26.278  25.778  17.720   0.002   0.002
  17.000   0.310  52.408  54.810  26.278  25.778  18.269   0.002   0.002
  18.000   0.326  51.608  55.857  26.278  25.778  18.920   0.002   0.002
  19.000   0.342  51.270  56.681  26.278  25.778  19.365   0.002   0.002
  20.000   0.358  50.937  56.534  26.278  25.778  19.097   0.002   0.002
  21.000   0.374  51.098  55.313  26.278  25.778  18.347   0.002   0.002
  22.000   0.389  51.447  53.942  26.278  25.778  17.455   0.002   0.002
  23.000   0.405  51.797  52.830  26.278  25.778  16.784   0.003   0.002
  24.000   0.422  52.147  52.088  26.278  25.778  16.342   0.003   0.003
  25.000   0.438  52.497  51.378  26.278  25.778  15.933   0.003   0.003
  26.000   0.455  52.698  51.103  26.278  25.778  15.761   0.003   0.003
  27.000   0.472  52.898  50.890  26.279  25.778  15.666   0.004   0.003
  28.000   0.489  53.098  51.168  26.362  25.778  15.861   0.104   0.003
  29.000   0.506  53.298  51.507  27.292  25.778  16.075   0.899   0.003
  30.000   0.523  53.498  51.856  29.357  25.778  16.293   2.458   0.003
  31.000   0.540  53.619  52.199  32.346  25.778  16.504   4.600   0.003
  32.000   0.557  53.739  52.494  36.040  25.778  16.678   7.146   0.003
  33.000   0.575  53.859  52.700  40.206  25.778  16.801   9.916   0.004
  34.000   0.592  53.979  52.898  44.595  25.778  16.925  12.735   0.004
  35.000   0.610  54.099  53.096  48.942  25.778  17.049  15.428   0.004
  36.000   0.627  54.199  53.293  52.955  25.778  17.170  17.819   0.004
  37.000   0.645  54.299  53.464  56.313  25.778  17.271  19.722   0.004
  38.000   0.663  54.399  53.582  58.604  25.778  17.342  20.892   0.004
  39.000   0.681  54.499  53.702  58.277  25.778  17.416  20.032   0.004
  40.000   0.699  54.599  53.820  53.563  25.778  17.490  17.569   0.004
  41.000   0.717  54.688  53.938  54.192  25.778  17.563  17.953   0.004
  42.000   0.734  54.777  54.050  54.070  25.778  17.631  17.971   0.005
  43.000   0.753  54.866  54.149  54.951  25.778  17.692  18.523   0.005
  44.000   0.771  54.955  54.248  55.688  25.778  17.754  18.952   0.005
  45.000   0.789  55.036  54.347  56.101  25.778  17.815  19.157   0.005
  46.000   0.807  55.108  54.446  55.649  25.778  17.877  18.733   0.005
  47.000   0.825  55.181  54.542  54.087  25.778  17.935  17.747   0.005
  48.000   0.843  55.254  54.630  53.001  25.778  17.990  17.111   0.005
  49.000   0.862  55.327  54.718  51.962  25.778  18.045  16.459   0.005
  50.000   0.880  55.399  54.807  51.391  25.778  18.100  16.150   0.005
  51.000   0.899  55.479  54.893  50.820  25.778  18.153  15.781   0.006
  52.000   0.917  55.559  54.970  50.649  25.778  18.200  15.721   0.006
  53.000   0.936  55.639  55.041  50.655  25.778  18.245  15.750   0.006
  54.000   0.954  55.719  55.114  50.947  25.778  18.289  15.944   0.006
  55.000   0.973  55.799  55.186  51.295  25.778  18.335  16.167   0.006
  56.000   0.991  55.710  55.259  51.634  25.778  18.380  16.377   0.006
  57.000   1.009  52.829  55.334  51.945  25.778  18.427  16.569   0.006
  58.000   1.026  49.190  55.414  52.209  25.782  18.477  16.729   0.010
  59.000   1.040  48.506  55.494  52.423  25.903  18.527  16.860   0.136
  60.000   1.054  47.906  55.574  52.619  26.649  18.577  16.983   0.739
  61.000   1.067  46.910  55.652  52.813  28.140  18.624  17.105   1.839
  62.000   1.080  46.108  55.654  52.993  30.273  18.595  17.215   3.353
  63.000   1.093  45.556  54.635  53.143  32.936  17.732  17.306   5.190
  64.000   1.105  45.006  51.563  53.263  36.005  15.778  17.379   7.256
  65.000   1.116  44.653  49.034  53.379  39.345  14.195  17.453   9.450
  66.000   1.128  44.303  48.135  53.498  42.806  13.925  17.527  11.669
  67.000   1.139  44.102  47.369  53.611  46.227  13.289  17.598  13.809
  68.000   1.151  43.902  46.611  53.717  49.434  12.777  17.664  15.763
  69.000   1.162  43.702  45.890  53.815  52.238  12.411  17.725  17.418
  70.000   1.173  43.502  45.248  53.914  54.423  12.043  17.787  18.648
  71.000   1.183  43.368  44.715  54.013  55.679  11.691  17.850  19.252
  72.000   1.194  43.202  44.419  54.109  54.433  11.478  17.910  18.082
  73.000   1.205  43.101  44.132  54.201  52.923  11.291  17.967  17.607
  74.000   1.215  42.951  43.969  54.289  53.878  11.191  18.022  18.166
  75.000   1.226  42.801  43.768  54.376  54.585  11.070  18.077  18.583
  76.000   1.236  42.651  43.570  54.463  55.097  10.952  18.132  18.880
  77.000   1.247  42.501  43.379  54.545  55.352  10.844  18.182  18.996
  78.000   1.257  42.335  43.235  54.618  54.853  10.761  18.228  18.564
  79.000   1.267  42.168  43.070  54.689  53.329  10.659  18.272  17.574
  80.000   1.277  42.002  42.952  54.762  52.096  10.587  18.318  16.881
  81.000   1.287  41.762  42.792  54.834  51.441  10.480  18.364  16.472
  82.000   1.296  41.522  42.647  54.908  50.698  10.386  18.411  16.015
  83.000   1.306  41.282  42.492  54.986  50.351  10.288  18.460  15.841
  84.000   1.315  41.042  42.335  55.066  50.129  10.184  18.510  15.695
  85.000   1.325  40.802  42.168  55.145  50.219  10.074  18.560  15.808
  86.000   1.334  40.543  42.004  55.213  50.525   9.965  18.600  15.997
  87.000   1.343  40.283  41.822  55.198  50.836   9.842  18.569  16.198
  88.000   1.351  40.023  41.582  54.710  51.167   9.682  18.172  16.405
  89.000   1.360  39.763  41.348  52.955  51.469   9.532  16.920  16.592
  90.000   1.368  39.503  41.108  50.111  51.733   9.377  15.117  16.754
  91.000   1.377  39.252  40.870  48.030  51.958   9.223  13.956  16.892
  92.000   1.385  39.002  40.629  47.294  52.157   9.065  13.566  17.016
  93.000   1.393  38.703  40.371  46.946  52.345   8.898  13.332  17.134
  94.000   1.400  38.403  40.114  45.966  52.518   8.734  12.624  17.240
  95.000   1.408  38.103  39.855  45.200  52.666   8.567  12.276  17.330
  96.000   1.415  37.882  39.596  44.804  52.790   8.401  11.925  17.407
  97.000   1.423  37.662  39.341  44.343  52.905   8.237  11.729  17.479
  98.000   1.430  37.442  39.092  43.897  53.021   8.078  11.395  17.553
  99.000   1.437  37.222  38.832  43.809  53.134   7.908  11.358  17.623
 100.000   1.443  37.002  38.533  43.416  53.239   7.713  11.150  17.689
